stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,hours_unreachable,_loaded_at_utc
NYC FLEET / DSNY_SWM-S2,3 Muldoon Ave,Staten Island,New York,10314,40.57531095089529,-74.19630116745911,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-06-11T11:27:15Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_SWM-S1,3 Muldoon Ave,Staten Island,New York,10314,40.575282429020916,-74.19652110859833,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,Available,1,0,0,1,2025-01-21T10:30:20Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_SI3A-S2,3 Muldoon Ave,Staten Island,New York,10314,40.5753191,-74.19646209999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:23:54Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_SI1A-S1,3 Muldoon Ave,Staten Island,New York,10314,40.575317,-74.19644,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:26:09Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_SI3A-S1,3 Muldoon Ave,Staten Island,New York,10314,40.57530280178956,-74.19646478220902,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-10-16T22:04:15Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / FDNY_405LOT#1,418 A Weaver Ave,Queens,New York,11359,40.793448167436814,-73.77569886931154,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:22:34Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_GILBOA_1_L3,370 NY-990V,Gilboa,New York,12076,42.3966985,-74.44683810000001,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:28:21Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_BXWM-S1,3201 Jerome Ave,The Bronx,New York,10468,40.87843174829478,-73.88650186931152,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-15T17:05:12Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_FBF-S1,3260 Flatbush Ave,Brooklyn,New York,11234,40.58902340838951,-73.89957598413086,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Charging,1,1,0,0,2025-11-18T21:49:26Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYCHA_SOTOMY-S1,1741 Bruckner Blvd,The Bronx,New York,10472,40.82651,-73.86648699999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:51Z,0.0,2025-11-19T10:31:52.196106+00:00
